userId,movieLensId,tmdbId,rating,timestamp
12709,3968,1636,3.5,1446931402
65876,104518,169209,3.0,1377585778
21221,130498,39385,3.0,1464344911
194690,70607,13797,2.0,1251343125
7570,5334,10164,3.0,1019705863
66508,91690,80038,3.0,1437916200
186059,8487,19414,3.5,1097893695
179792,1470,90928,2.5,1163477762
109314,25818,43896,3.5,1266982957
90530,5704,44932,1.5,1341263533
181776,5704,44932,3.5,1177481086
185916,136926,272435,4.0,1443814099
162009,1949,874,4.0,949504475
175407,2133,14367,0.5,1168007380
102920,96467,84340,3.5,1359485836
237401,152065,336808,4.5,1486145608
153709,54372,10795,4.0,1235421303
22531,116660,167581,3.5,1437768841
45095,108983,83564,3.0,1401540291
65654,144620,257445,3.5,1477255863
98415,73494,52429,3.0,1263010156
169283,122888,271969,1.5,1471630210
168808,101761,93828,2.0,1445104249
127470,156371,295699,3.5,1496238593
10917,170787,417678,2.5,1500176620
175957,25777,13911,4.0,1226752889
168762,49649,2486,1.5,1371999124
5641,49737,11653,2.5,1466472698
195810,26569,47340,0.5,1419823200
243988,4473,14911,3.5,1114734591
166249,134354,33457,3.5,1464472634
91307,74653,20083,1.0,1270831883
137116,4534,13965,3.0,995340822
121566,67223,17003,4.5,1262838869
158239,103315,179826,3.0,1468156366
218484,95461,67619,4.0,1344210254
257380,95856,13928,3.5,1452413520
145986,32031,9928,3.0,1369216552
121297,131920,228108,4.5,1488078740
144834,6723,10619,3.5,1107218407
254035,32674,70926,4.0,1154122690
87913,70607,13797,4.5,1256792178
125812,25818,43896,3.0,1245269864
1178,4748,16314,3.0,1304952830
114527,36513,15022,2.0,1166207155
45044,84181,44963,2.5,1302390205
18671,3525,12309,4.0,1126596779
181416,3345,57855,2.0,1056854449
13839,2475,18588,4.0,1182632184
182892,2028,857,5.0,1489346001
5915,6988,899,3.0,1210320886
240212,94469,66125,4.0,1461432772
51601,88879,56832,5.0,1445543657
78317,141520,49087,4.0,1486392082
229927,138610,299245,1.5,1458060189
230098,172843,19312,3.5,1495214885
114440,99117,89492,3.0,1359150383
125846,142084,318973,3.5,1490277926
79501,90916,70586,2.0,1320963208
154749,4510,38615,4.0,1062940601
203779,6699,22200,2.0,1217267860
24025,102299,98541,2.5,1459091572
43316,1529,1811,4.5,1438096277
259536,8954,126148,4.5,1273359277
123413,3238,18681,1.0,999823193
97744,6940,1836,5.0,1457517824
233760,1,862,3.0,862565631
143311,127325,87339,2.5,1486948230
229991,98239,60747,2.0,1497338053
151569,145857,321039,0.5,1468038580
236938,143868,39285,3.5,1444470700
201372,39439,182097,2.5,1310131804
228704,116161,87492,3.0,1478471307
41292,4169,17203,4.0,1065798431
53626,31998,34614,2.0,1445501107
117586,32721,13524,1.5,1171392511
31291,25818,43896,4.0,1448265855
176672,61948,14098,2.5,1263784368
45811,110568,74241,2.5,1479221023
214775,4400,43342,3.0,1107856529
144743,92719,79940,1.0,1343981013
142442,61132,7446,4.0,1257726884
212783,2009,12101,5.0,940228131
243695,60405,20158,3.5,1234546465
246248,130854,79570,3.0,1485118483
133880,3968,1636,1.5,1437914287
75773,713,90148,1.0,857356520
34949,3958,78140,1.5,1112965254
40397,60201,26302,1.5,1262141112
136493,36513,15022,2.0,1350233336
5459,155078,364433,4.5,1459548435
31868,83322,50704,4.5,1295156532
266642,131439,237756,2.5,1471893948
163763,2537,31638,1.0,962132147
114697,26289,31943,0.5,1203895412
207514,5917,76397,4.0,1054653627
136702,8421,57544,0.5,1244245152
172344,94469,66125,4.0,1433591879
138941,3238,18681,5.0,998446312
143767,81949,41556,5.0,1469442876
94779,49276,9809,3.5,1172368322
55462,8208,56135,4.0,1199219484
234781,115174,244268,3.5,1436664880
31963,5530,9296,2.0,1043961326
37222,93467,48373,4.0,1486061375
185005,106204,123377,2.0,1475162126
205390,273,3036,4.5,1169156284
125029,115828,251232,5.0,1491681505
181711,122129,45752,0.5,1433426578
213512,70697,19585,2.0,1256600451
222647,56485,25460,3.0,1393149842
182617,81949,41556,2.0,1403242388
54845,147917,143169,3.0,1500487734
233055,54372,10795,5.0,1239746007
19786,131920,228108,4.0,1454796421
216906,89164,64320,4.0,1318191773
161672,27108,55257,4.0,1250489898
261452,56607,7979,3.5,1259185518
207316,86957,60306,3.0,1357511194
232597,101864,75612,4.5,1423624644
229738,8487,19414,2.5,1107547316
173593,116752,11115,3.0,1486565325
229,4017,12509,3.0,1037030855
4485,128093,47911,4.0,1435474803
243331,8040,32450,2.0,1087774192
48475,4738,22230,3.0,1123191172
98707,69381,31544,4.5,1277747119
218118,106234,121674,3.5,1410750389
31868,3292,22342,3.0,1368018238
14118,73531,41970,2.5,1289126348
158838,142540,353686,2.5,1486204595
223889,5454,12251,4.0,1026558707
189918,70728,18533,4.0,1316254972
208241,152065,336808,4.5,1464294521
56556,2028,857,3.5,1143142062
176605,32031,9928,4.5,1447304387
203828,163645,324786,2.5,1496513483
154272,76063,69872,4.0,1350142374
174414,45170,35545,2.5,1323256945
149081,32721,13524,3.0,1294453161
77605,151113,348678,2.5,1488022968
33182,171413,38614,2.5,1493930125
229879,26167,66043,4.0,1407980005
149517,131439,237756,1.5,1458258854
60613,32674,70926,4.5,1125616177
186960,2296,9429,3.0,1232055658
60010,4400,43342,2.5,1115829248
143483,108190,157350,1.5,1447471301
218706,4592,55699,3.0,1071466147
62964,156371,295699,3.0,1487547506
149881,7245,28586,2.5,1271486719
62021,32781,14689,4.0,1128194254
102106,713,90148,3.0,978501955
221327,85738,159878,2.0,1301691358
109197,158950,81416,4.5,1475673900
122780,2537,31638,3.0,1001617179
30677,20,11517,3.5,1400747510
138085,32225,57953,3.5,1341861612
80015,122888,271969,4.0,1490630984
42884,77204,47808,2.0,1278943038
138047,4427,18988,4.0,1007436062
4351,99106,82687,3.0,1474224479
200957,94837,111839,4.5,1495983389
103484,36529,1830,4.0,1471644071
216238,2537,31638,1.0,948129764
178349,25777,13911,3.5,1133926792
194163,61948,14098,3.5,1426699176
177147,4534,13965,2.5,1135771443
264057,99117,89492,2.5,1451764051
74177,104518,169209,2.5,1444325208
50148,4738,22230,3.5,1146704828
5346,95856,13928,3.5,1483748522
102037,4169,17203,0.5,1111640793
106987,1529,1811,3.0,955671943
199754,713,90148,1.5,1059094522
201209,6531,70912,4.5,1426419746
518,1006,6346,5.0,860933354
52952,77204,47808,3.0,1291606204
251298,27758,32276,3.5,1291074308
142468,149186,351819,4.0,1479761731
179719,61373,16182,4.0,1501377606
135436,165337,402298,3.5,1478807582
166764,2475,18588,3.0,1012592112
108547,1090,792,4.0,1134933894
107819,117682,19554,4.0,1444929189
38220,52319,22311,4.5,1280729013
92483,93420,68450,1.0,1353629360
45811,58084,18652,3.5,1450164144
67658,45732,4474,0.5,1167692765
239753,70545,11115,4.0,1250697221
103726,32515,28448,5.0,1344181368
270123,116245,71034,3.5,1436135301
182617,52356,1590,3.5,1403241982
176605,99143,94352,5.0,1447637988
173092,2009,12101,3.5,1055856067
89345,36529,1830,3.5,1393104768
266642,127208,294132,2.5,1471893950
138957,356,13,3.0,849006942
253477,35,47018,5.0,832099594
8659,53835,2748,3.0,1223938133
21380,170741,449863,1.0,1491679168
30102,156956,342165,3.0,1497668030
132646,3771,17897,4.0,1048796326
147611,44124,113479,3.5,1501465831
3841,5334,10164,3.0,1042152338
250126,26167,66043,5.0,1460313878
153682,3771,17897,3.0,994551945
217520,86559,3581,3.5,1492638112
144494,143868,39285,3.0,1445293088
244889,2537,31638,2.0,956966858
42957,69381,31544,4.0,1311513522
209611,153164,10500,3.5,1455973564
246589,144690,13707,4.0,1492765793
205552,150588,259325,3.0,1452515724
165689,132577,73529,4.5,1441612832
212863,8378,26142,4.0,1088222764
257255,82322,43614,3.0,1360574461
98415,151113,348678,3.0,1487013736
230417,74113,47370,0.5,1478298967
121530,579,68806,4.5,1062122513
188516,6068,26761,3.0,1044784765
118673,3292,22342,4.0,994120729
70477,131054,35177,3.5,1485111310
262633,4500,27362,3.5,1317737797
101625,2009,12101,3.0,959053822
35233,1380,621,4.5,1285656688
53582,156371,295699,3.5,1471713745
225461,4400,43342,2.0,1056565113
171832,128093,47911,3.0,1437599859
222647,103624,157354,3.5,1390814037
246589,126066,83746,4.0,1444219471
254860,32298,11638,4.0,1137467065
205197,1959,606,3.5,1202675720
91970,6988,899,3.5,1223982171
16520,6541,8698,3.5,1367113880
